cell_id,leiden_cluster
acejofff-1,2
acekhmld-1,1
aceldeek-1,4
acemjcmp-1,0
acempgfo-1,1
acenimkd-1,1
aceopicj-1,0
acepdiel-1,2
acepknai-1,5
acfagiai-1,1
acfbfimk-1,0
acfdffji-1,1
acfdljdh-1,2
acfeackm-1,2
acfefiod-1,0
acfemnbm-1,0
acfeoboj-1,4
acffmddj-1,0
acffngka-1,5
acfgddpg-1,4
acfglaio-1,0
acfglbhf-1,5
acfialka-1,5
acfjfcji-1,0
acfjncil-1,0
acfkkmfc-1,3
acflbkan-1,3
acfldedf-1,0
acfmcpcn-1,3
acfonmhm-1,3
acfpfbck-1,1
acgaigmc-1,0
acgbnjdh-1,0
acgboofo-1,3
acgbphjc-1,0
acgcefhp-1,0
acgcgoeh-1,0
acgcmbok-1,3
acgdedlf-1,0
acgdkbal-1,0
acgfghhm-1,3
acggpgjl-1,3
acghcbda-1,0
acghnapj-1,3
acginbdn-1,0
acgknaek-1,3
acglcfop-1,0
acglcpik-1,3
acgldaff-1,3
acglpmme-1,3
acgmadjm-1,0
acgnhjcb-1,0
acgoojmj-1,1
acgpijab-1,3
achabkkh-1,3
achaddif-1,0
achahiee-1,0
achbbfed-1,0
achbfgpb-1,0
achbfnlg-1,3
achccoeo-1,0
achcfjlp-1,0
achcpdpa-1,0
achdkflm-1,0
achelfno-1,0
achfdbmc-1,0
achfnldf-1,0
achgddpm-1,0
achgdofo-1,8
achhhcec-1,0
achhmocb-1,0
achjfenm-1,0
achjglpk-1,1
achjlhcm-1,1
achjoajd-1,0
achkgjpp-1,0
achkifjn-1,2
achknicc-1,0
achmofam-1,3
achnobog-1,3
achodcfl-1,0
achpfmfk-1,0
aciagaph-1,3
aciaohal-1,0
acibabjn-1,1
aciblnkn-1,3
acidacma-1,0
acidafbm-1,3
aciepmgh-1,3
acifbhlk-1,0
acififjb-1,0
acigidnb-1,3
acigkjnb-1,0
acijehea-1,0
acikcggn-1,1
acilkjkm-1,0
acilmebg-1,1
acimflip-1,0
acinlfoc-1,0
acinnlej-1,3
aciodbdf-1,0
aciojcfa-1,0
acjakolp-1,0
acjbfahi-1,0
acjffiim-1,0
acjhhjem-1,0
acjikdfp-1,0
acjikobf-1,0
acjjokcc-1,0
acjllagf-1,1
acjmhbdg-1,0
acjohnmf-1,0
acjoihig-1,1
ackabcnc-1,1
ackagflm-1,1
ackcdaii-1,0
ackcofpg-1,0
ackdkkmk-1,1
ackeafan-1,0
ackegfhp-1,0
ackfdbdg-1,1
ackfkeje-1,0
ackgaman-1,3
ackgobgk-1,3
ackhenad-1,0
ackhgcag-1,3
ackijihf-1,0
ackijlng-1,0
ackijnlg-1,3
ackjhjkk-1,3
ackmbome-1,3
ackmgiah-1,0
acknfmld-1,0
ackoeinc-1,5
ackofaei-1,1
ackojldf-1,1
ackpfnjp-1,0
ackpmfjb-1,0
ackppjkn-1,4
aclaljnf-1,1
aclbdkag-1,5
aclbkoob-1,5
aclbopmm-1,4
aclbpbhb-1,1
aclcmkib-1,0
acleadog-1,0
aclekjok-1,1
aclfdodh-1,1
aclgpjcp-1,1
aclhaced-1,0
aclhiomf-1,1
acliapii-1,1
acljcfck-1,0
acljlbja-1,1
acljlmkk-1,0
aclkappj-1,5
aclkinng-1,0
acllcajm-1,1
aclldalg-1,1
aclncdli-1,0
acloemom-1,0
aclpglag-1,0
acmagopb-1,0
acmajlok-1,0
acmajnac-1,0
acmbddje-1,5
acmddkaf-1,0
acmdhcff-1,0
acmdojjf-1,0
acmeelna-1,0
acmelmlj-1,2
acmelpmc-1,0
acmenmfg-1,0
acmfkejg-1,0
acmgbnbp-1,0
acmgjona-1,1
acmhjcne-1,0
acmhpgbn-1,0
acmidgdd-1,0
acmidlme-1,1
acmkfaeo-1,2
acmkhfha-1,0
acmlgkio-1,1
acmlkiid-1,6
acmmefni-1,0
acmmndmc-1,1
acmnehge-1,1
acmofako-1,2
acmojooo-1,0
acmoonlc-1,2
acnaafde-1,2
acnackkp-1,5
acnalceo-1,5
acnblaio-1,0
acnbnceb-1,2
acndpdlc-1,1
acneehbc-1,1
acnelhhp-1,2
acnffaem-1,8
acnfhfio-1,2
acngfkng-1,2
acnghhkj-1,2
acnglpkc-1,2
acnhdpae-1,2
acnhhhfn-1,2
acnhpojl-1,0
acnjkcfd-1,3
acnjnlfl-1,14
acnkdcnl-1,2
acnkoanl-1,0
acnldhbo-1,5
acnmkheo-1,2
acnngepi-1,2
acnnmopm-1,1
acnpicel-1,5
acoaddeo-1,1
acoagfjl-1,0
acobjmil-1,1
acoblinp-1,1
acocboge-1,5
acodjgka-1,2
acoebfld-1,0
acoeiaaa-1,0
acofaeal-1,1
acofiemk-1,0
acofjigi-1,1
acoggdog-1,1
acognmig-1,0
acoiphll-1,0
acojdfpc-1,1
acojfdon-1,2
acojkdmp-1,0
acokakce-1,0
acokfjlg-1,2
acokgjpd-1,0
acolmocn-1,1
acolngbj-1,0
acomhhon-1,2
acoobhbg-1,0
acoobikc-1,0
acoodcac-1,1
acoohegd-1,0
acopaela-1,3
acopbfdh-1,0
acopjbni-1,0
acpcnljd-1,0
acpdcmjc-1,0
acpddghp-1,3
acpenpcf-1,0
acpffdem-1,0
acpfmkij-1,0
acpgkdig-1,0
acpgmapm-1,0
acpgmlbc-1,0
acpikcie-1,0
acpjahda-1,3
acpjideb-1,0
acpjpjpc-1,3
acplbpef-1,3
acplfigj-1,3
acpmbdio-1,1
acpmmdog-1,0
acpnbecm-1,4
acpoille-1,4
acpomdib-1,0
acppcegg-1,1
adaampda-1,2
adabkkmk-1,1
adabpeka-1,4
adacmpan-1,1
adadbmil-1,4
adaecphl-1,4
adaefemi-1,4
adaeljhm-1,0
adaempmm-1,1
adaenfal-1,4
adafeone-1,1
adafncab-1,2
