cell_id,4-1BB,B7-H3,CD123,CD14,CD163,CD27,CD31,CD38,CD39,CD40,CD68,CTLA4,FABP4,FOXP3,GITR,GZMB,ICOS,IL-18,IL-1b,IgD,Ki-67,LAG3,LAMP1,NF-kB p65,PD-L1,Tim-3,VISTA,Vimentin,iNOS,pan-RAS
c_1_32_449,-0.39816365,-1.3273845,0.31528962,0.35393155,-0.8540013,0.71652156,-1.2014152,0.27068105,-1.3014103,0.90150344,-0.12461331,-0.583088,-0.3106503,0.5871157,-1.3384115,-0.7355306,0.28160706,0.16727689,-0.7284577,0.3824362,-1.5356245,-0.68998355,0.093888514,0.9234908,0.051266357,0.43317986,1.6688372,0.13017377,-1.6789365,-0.3288429
c_1_32_450,-0.56293243,0.30484834,-1.4777532,-0.4616024,-0.5107644,0.4394794,-0.71667993,0.7140024,-0.79315287,-0.3275567,0.11114777,0.45461208,-1.1415094,-0.5338663,-0.64495844,-0.44399,-0.83793265,-1.0871867,-0.33809385,-0.39292824,0.07582767,-1.2623093,0.3779214,-0.13413216,-0.9287303,0.08327215,-0.78103733,0.46879748,-0.3068377,0.16288719
c_1_32_451,0.06722512,0.6204377,0.97765976,-0.016244968,2.0563211,0.07744997,2.236166,0.3921856,0.12681392,0.5776808,0.9441513,0.7979426,1.1450578,2.178668,1.2628717,1.3577766,0.014789142,0.7612411,1.5475407,1.9797897,1.4498057,2.024598,0.47366574,1.0681758,-0.078839265,0.9028133,0.0028007713,1.1405437,1.5958787,0.372495
c_1_32_452,-0.36361083,-0.5201415,-0.39568007,0.0042421715,-0.68419254,-0.69724,-1.7124103,-0.20119625,-1.1441629,-1.2392442,0.8680281,-0.5085491,-0.907397,0.106295906,-0.39935905,-0.01661169,-0.79555774,-0.5584015,-0.71363187,-1.4903626,-0.06114246,-0.02405081,0.31201047,-0.51923436,-1.0784487,0.46576884,0.32835117,0.6125009,-0.74964976,0.11236371
c_1_32_453,-1.5539519,-1.6528782,-1.2922127,-0.81810105,-0.6355895,0.14010066,-0.5471669,-0.51467097,-1.1529508,-0.20642273,0.13459922,-0.7361964,-0.5886175,-0.261468,-1.868063,-0.3643355,-1.4313078,-1.4138088,-1.3704417,-0.15658294,-1.264192,-0.767179,0.0067645344,0.37284556,-1.2198328,0.48212698,-0.61093146,0.3554898,-0.8894303,-0.8592645
c_1_32_454,-0.9333144,-1.7584223,-0.98094285,-0.15588142,0.07042626,0.37033424,0.34199452,-0.43418765,-1.6168427,0.4728998,-0.35021874,-1.7382939,-1.1846912,0.8042017,-1.1717067,-1.1382978,-0.6393474,-1.1167244,-0.81293917,-0.7728813,-0.8709437,-0.98327935,-0.38072628,0.2123186,0.7181803,-0.6047228,0.37146005,0.37603217,-0.5294841,-0.48780897
c_1_32_455,-1.1916863,-0.44359365,-0.066061035,-0.39693454,-0.25234473,-0.25556386,-0.5018021,-0.17474648,-1.0826658,-0.70103073,-0.3475823,-0.95637757,-0.3919235,0.7592021,-2.1223688,0.13971439,-0.11434825,-0.456728,-0.77354413,-0.68411744,1.0595791,0.2619303,-0.4443026,0.38440618,-0.80917317,0.43578526,0.87098277,0.5404962,-0.5562757,0.21192937
c_1_32_456,-0.3962771,-1.5791156,-0.05832853,0.7893685,-1.2363302,0.6504643,-1.2406137,0.18569285,-2.0201128,-0.51880056,-0.24495195,-0.7265643,-0.5482858,0.73481464,-0.7663173,-0.6053516,0.3098037,-0.5161693,-0.6125594,-0.7440588,-1.4462713,-1.043433,-0.06076208,0.7773429,-0.14080945,-0.08111015,0.62766606,0.01800639,-0.75554556,-0.9093427
c_1_32_457,-0.51862055,-0.22484474,-0.52618337,-0.43650275,-0.7047489,0.03686492,-0.8698213,-0.16812041,-0.045259375,-0.014959491,0.46025327,-0.44213155,-0.6210404,0.14603396,-0.41108212,-0.04626921,-0.5208081,-1.0180498,-0.04216836,0.13166955,-0.89749163,-0.8089145,0.13214906,0.19824871,-1.2900157,0.60178316,-0.6551327,0.43318963,-0.37857202,-0.020105306
c_1_32_458,-0.1092656,-0.8094349,0.1866165,0.2124578,-0.33883953,0.5702924,0.38192138,-0.2722553,-0.7738659,1.2407426,-0.33445382,-1.3456186,-0.5499529,1.3669208,-0.45608217,0.012796227,1.1469171,-0.734398,-0.9923078,0.18933377,-0.0015650592,-0.25903204,0.69743997,0.14450257,1.5119996,0.48365343,0.66310143,0.3577798,-0.25296965,-0.43306902
