cell_id,4-1BB,CD11c,CD123,CD127,CD14,CD16,CD40,CD45RA,CD68,CTLA4,EGFR,FABP4,FOXP3,GITR,GZMA,ICAM1,ICOS,IDO1,IL-18,IL-1b,IgD,Ki-67,LAG3,Ms IgG1,PD-1,PD-L1,PD-L2,Tim-3,iNOS,p53
c_1_19_1513,-0.13930818,-0.7724388,1.3949687,1.0389099,0.54303885,-1.1964482,0.4970249,0.06499805,0.08425601,-0.5433609,2.4092617,0.658199,2.0021613,-0.20516427,-1.0267062,-1.4920082,-0.93848205,1.1339399,1.3269255,-0.27219787,-0.06421578,-0.86221945,0.39745727,-0.49231544,1.1912819,-0.62858665,0.19228794,0.44392803,-0.1909771,-0.9035814
c_1_19_1514,-1.0164741,-0.5221089,-0.6975537,-1.6129308,-1.0656798,-1.01599,-0.28964436,-0.54042226,-0.49836046,-0.964287,-1.0518991,-0.7912152,-0.96966434,-1.3041738,-0.9237505,-1.1620268,-0.88848656,-1.1589625,-0.61179477,-1.293851,-1.5199213,-0.9642614,-1.3382246,-0.83543426,-1.3740273,-1.9141835,-0.81241244,-0.16647182,-1.4103206,-1.9195423
c_1_19_1515,-1.917789,-2.3690336,-2.1724308,-2.8907902,-1.4746583,-2.3575778,-2.1145663,-2.1003172,-0.2841084,-1.7572739,-1.7715012,0.5140559,-2.256766,-2.8729503,-1.887635,-0.86193854,-1.1445901,-2.7353332,-2.3935287,-2.7070749,-1.6322548,-1.5150435,-2.191722,-1.8212129,-2.751615,-1.897039,-2.2118254,-0.66937596,-1.3192462,-2.5418484
c_1_19_1516,-1.0083733,-0.03226761,-0.42261913,-1.3535522,-0.38225436,-1.01599,-0.3246511,-0.25533307,0.27535075,-0.8570889,-0.7696579,0.47939745,-0.12473822,-1.1301428,-1.040235,0.55550516,0.47758186,-0.26590613,-0.87571293,-1.2074769,-0.09529037,-1.2301,-0.74126583,-0.41417044,-1.0065573,-1.6171046,-0.5963847,-0.012709762,-0.10378762,-1.5976697
c_1_19_1517,1.5042342,0.75195044,0.76010245,1.3922275,-0.011278047,-0.20997715,0.11613561,0.22013988,0.6559666,1.1658114,1.089087,-0.6110354,0.4424956,0.91954976,1.2875257,0.08687957,1.3253566,0.8983803,0.53681177,1.2171307,0.534935,1.2962058,0.89068025,1.1237895,-0.020656569,0.7583141,0.97791296,0.24641061,0.28024432,0.22857596
c_1_19_1518,2.2731638,0.5645362,1.510233,1.2751734,0.42962885,0.5764571,0.52973145,-0.00036580727,0.3125698,1.3969463,1.5174978,0.5427999,1.2663078,0.6258198,0.6724858,0.16691515,0.57477343,1.1510543,1.6133963,1.1314939,1.0997574,2.6559894,1.4308524,0.684244,1.0428095,1.9633205,1.5009259,0.20901886,0.0078094807,0.20534466
c_1_19_1519,0.65066683,0.07520969,0.2772246,0.5009217,-0.22775589,-0.5343561,-0.51865894,-0.2271639,0.15651384,0.713287,0.8902235,-0.6013048,0.30284813,0.7786692,0.42295703,0.42464954,-0.04407313,0.23843122,0.12195312,0.5767813,0.18158129,1.8865014,0.8359143,-0.18100618,0.13077366,0.35641018,0.47740087,-0.7700794,-0.86755395,-0.22370751
c_1_19_1520,-0.8002917,-1.4298849,0.37059182,0.24722904,0.40358648,-1.7887549,-0.17736681,-0.1597716,0.55976176,0.0038437485,0.4680493,-0.6117865,0.9404435,-0.49275288,-1.2929296,-0.22654265,-0.2530256,1.0620623,0.9168414,-0.9206548,-0.9231877,-1.200793,-1.1450876,-1.0021892,0.73051083,-1.9401572,0.34627432,0.9195392,-1.2945598,0.45305112
c_1_19_1521,-1.3966974,0.77664185,0.21416682,-1.0267138,-0.21375416,-1.3619252,-0.18022624,0.05594417,0.2785148,-0.78837454,-0.9097898,0.89126176,0.44161496,-0.38682485,-0.37202686,0.43692932,-1.0982144,1.5408121,-1.4687334,-1.6301112,-1.9183316,-1.5137138,0.6152723,1.3113708,-0.48974958,-0.58158207,-1.1058928,-0.008115388,0.32333493,-0.6098408
c_1_19_1522,-0.62247974,-0.24573813,-0.15252171,-1.6678565,0.38168946,-1.6625754,0.8734662,-1.7983227,0.63766444,-0.26567578,-0.79020226,-0.67437387,-0.12027027,-0.29014784,-1.0929497,1.1408042,-0.65113515,0.36756527,0.1971949,-0.5381115,-0.33908024,-1.6489071,-0.30383116,-0.4502987,-0.26516256,-1.0379987,-0.08601173,0.66407895,0.022547781,0.24193463
