cell_id,4-1BB,CCR7,CD123,CD127,CD138,CD14,CD15,CD163,CD31,CD38,CD45RA,CTLA4,FABP4,GITR,GZMA,GZMB,ICOS,IL-18,IgD,Ki-67,LAG3,Ms IgG1,PD-1,PD-L1,PD-L2,Rb IgG,TCF7,Tim-3,Vimentin,p53
c_1_10_3157,1.5628917,0.6261319,0.14348964,0.45130578,-0.9977464,1.1351593,-1.0816865,-0.3222424,-0.52401596,0.822027,0.5152033,-0.10919394,-1.1274216,-0.52806133,-0.60246766,0.34382457,0.62550604,0.7770042,0.13095938,-0.36510438,0.035869777,-0.9476434,0.5390142,0.18702458,-0.18501544,-0.79180336,0.053488374,-0.7561407,0.39115593,-0.32372156
c_1_10_3158,-0.18847226,-0.42025718,0.102722526,0.023723332,-0.073559895,0.13633183,-1.052181,-1.1155825,0.70800984,0.33993328,0.070342995,-0.44002876,-0.44405106,-0.2367419,0.44241935,0.086739816,-0.5248735,1.2244029,-0.008885264,0.6627878,-0.5112133,-0.4965108,-0.08191676,-0.18737002,-0.43666068,-0.85082453,-0.757043,-0.21098414,0.61271304,-0.08526454
c_1_10_3159,0.7677642,-0.680579,-0.38852602,0.23494044,-0.6579509,0.6432391,-1.1545414,-0.9316287,-0.66928405,0.92693,-0.22504659,0.19541603,-0.681338,-0.56974965,-0.19784726,0.17702757,-1.068769,0.27242354,0.092973284,0.64204806,-0.19071443,-0.5430824,0.22703907,-0.047270052,-0.5456705,-0.62695175,-0.12820642,0.77675927,0.2045844,0.046827707
c_1_10_3160,-0.95568514,-0.5391236,-0.25276458,0.18748155,-0.78356636,1.3029488,-0.91693175,-0.17454875,0.6493425,-0.05348185,-0.20507613,-0.48614237,-0.7578423,0.07540891,-0.89550555,-0.26291972,0.4905313,-0.029113127,-0.73653346,-0.90333444,-0.80291444,-0.5119151,-0.028999358,-0.21436664,-0.773597,-1.2556114,-0.88185346,1.2595363,0.5071317,0.46932063
c_1_10_3161,0.0047827815,-0.4637648,-0.32822698,1.2926915,-0.30496654,0.6393135,-0.6641502,-0.28670025,0.15086298,0.38675588,-0.08938711,-0.45041054,-0.7506738,-0.54109883,-0.28556448,0.24622448,0.105636165,-0.26884222,0.045151222,-1.0681171,-0.15381125,-0.52225053,-0.9232768,-0.025329309,-0.78787506,-0.06761102,-0.60928035,0.2995142,0.78204024,0.41148058
c_1_10_3162,-0.76373464,-0.25434884,-0.7663453,-0.25306407,1.1511605,-1.4672765,-0.90610725,-0.27022502,-0.59893155,-0.5576037,0.95784765,-0.46714142,-0.5133438,-0.15934701,-0.63915265,-0.8030275,-1.7520658,-0.6419275,-0.5539214,-0.71854067,-0.48103577,-0.34863207,-0.66314363,-0.8574179,-0.7453295,-0.55941707,-0.7897066,0.38846543,0.34680045,-1.0292654
c_1_10_3163,1.6832167,1.3112963,2.2095742,2.2150893,1.0475274,0.8015689,2.0587595,1.2487203,1.6483133,0.7093601,0.9597026,1.6979595,1.3854352,1.5796003,2.3676848,1.995675,1.143586,1.7649094,1.9656328,1.5538228,2.0032792,2.218689,2.3275328,1.9274181,2.383106,2.1370132,1.7177544,1.3633736,-0.5676225,2.380677
c_1_10_3164,0.7031938,0.4857916,0.7669975,0.79131085,-0.25128746,-0.09366395,0.77134866,-0.27227572,0.23520926,0.21953346,0.22562312,1.579869,0.4235536,0.8314735,0.7662299,0.5351209,1.4601556,0.54631215,0.012369198,0.52659106,1.0775312,1.1825062,1.0991876,0.6899346,0.45237395,0.8225204,0.2079027,0.6485263,0.69811386,0.43018812
c_1_10_3165,1.0545894,-0.17155008,-0.1343156,0.20935789,-0.39745346,0.77033925,-0.15077165,1.1400756,-0.61522377,0.334459,0.45367706,0.03456643,0.5481268,0.44063267,-0.02707487,0.4493641,0.63064766,1.735595,0.57886195,-0.18363358,-0.14671513,-0.7467561,0.54982287,1.542847,0.8575673,-0.5723693,0.24678169,1.4065766,0.9107619,-0.6983644
c_1_10_3166,-0.058879763,0.14866231,-0.7065507,0.15714522,-0.4792529,1.7431774,-0.8217825,0.5159392,0.68918025,0.33230308,0.42947885,-0.28443742,-0.32752424,0.21573518,0.007488741,-0.014079152,-0.06628743,0.685347,0.35322437,-0.47927305,-0.69860446,-0.028593343,0.46763378,0.32355672,-0.7431711,-0.8527655,-0.67596906,-0.3877517,0.56614894,-0.5910402
c_1_10_3167,-0.37777337,-0.657472,0.8738453,1.0011289,0.0820194,0.12989521,1.2212701,-0.57672614,4.8011413,0.28063494,0.27672356,-0.27872694,0.28189602,0.0869321,-0.32210594,1.1439528,-1.102536,0.25179067,0.08296052,0.47714788,0.32555705,0.1008916,-0.24122566,-0.8930048,0.004412062,-0.43841988,0.5322177,0.16980632,0.7422047,0.2730023
c_1_10_3168,-0.698578,-0.5762525,-0.40951273,0.03562568,1.7581341,-0.77815354,-0.96646494,-0.22172293,0.17274964,-0.59941626,1.0361509,-0.33206043,-0.28569466,-0.030562922,0.38029858,-0.6919218,-1.0799503,-0.6615429,-0.025806835,-0.41089654,-0.07809148,-0.6015084,-0.2080942,-1.0712593,-0.66794705,-0.21728061,-0.44702965,0.7379191,0.38059622,-0.4347916
c_1_10_3169,0.27093604,-0.40248585,-0.06581765,1.1829106,-0.33226976,1.5318065,0.053368185,0.90912914,-0.33825958,0.34262487,0.9049318,-0.5722514,-0.23184071,0.120569944,-0.81308144,0.8834517,-0.79880327,0.8952335,-0.38779888,-0.46925205,-0.8470905,-0.32971203,0.012135399,-0.2777114,0.18641822,-1.0512295,-0.16138226,0.10079933,0.5779794,1.192182
c_1_10_3170,0.25244725,-0.40779552,0.030967617,0.48078462,-0.41951853,0.43198565,-0.5543852,0.37384903,0.3996663,0.42781913,0.31078905,-0.08503038,0.53719926,-0.7232002,-0.68281716,0.8023738,-0.45546097,1.0877827,0.488445,-1.0110123,-0.6826253,-0.13683152,0.39042604,0.07814431,0.30931962,-0.8030557,0.5518217,0.7249931,0.9517164,0.5042114
c_1_10_3171,-1.5544897,-0.24954131,-1.1900185,-0.31533068,0.05250962,-1.1284951,-0.88465244,-0.3978092,-0.86798203,-0.44684142,1.5906203,-1.0586749,-1.0026125,-0.6019497,-1.0509629,-1.1157633,-1.2080516,-0.7534399,-0.33130094,-1.191804,-0.67732716,-0.7467561,-1.3506114,-1.2859784,-1.088393,-0.9970903,-1.0583771,0.69494516,0.49310434,-1.9333047
c_1_10_3172,0.020631079,-0.34355092,-0.47967222,-0.531574,-0.6751351,0.23817113,-0.14369744,-1.3519809,-0.49399796,0.40385768,0.7329346,-0.62937915,-0.68745846,-0.07966577,-0.45645204,-0.38682407,0.9533012,0.21699138,-0.14677061,-0.2411858,-0.8644591,-0.99952376,0.36373222,-0.5780405,-0.05762114,-0.91214305,-0.65632206,-0.21433106,0.48346865,-0.87472117
c_1_10_3173,-0.05755507,0.09075047,-0.34721318,0.043291077,-0.13636559,0.35881895,0.106357895,-0.1842706,1.7414794,0.12094962,-0.07429578,0.30960682,-0.013992466,0.38081515,1.0819086,0.30132243,-0.31203917,-0.18188627,0.5448313,-0.16436747,0.06881799,0.8763202,0.7360962,0.31988722,0.24103609,0.028514631,0.14447069,0.4456349,0.9169454,-0.07183541
c_1_10_3174,0.7561771,0.23865195,0.18862437,0.66949713,-0.268721,0.9102052,-0.16500422,0.45512664,0.59163946,0.45638204,0.25739473,0.69179416,-0.1467658,0.90029985,-0.5903875,0.392033,0.76200527,0.37817714,0.6868482,-0.65096074,-0.45367232,-0.21089008,-0.45157695,-0.36541554,-0.38058358,-0.13634907,-0.09876738,0.08685556,0.4056993,0.34768713
c_1_10_3175,-0.76271224,0.022551345,0.25293517,-0.15081245,-0.4859673,0.4313037,-0.7710209,-0.18037541,-0.19534595,0.35018027,0.10672924,-0.24482149,-0.012434165,-0.41124958,-0.72960365,-0.34010455,0.032819815,-0.029633513,0.5655512,-0.66785693,-0.11957853,-0.54832435,0.38182962,0.013567812,-0.222525,-0.90008694,-0.42620337,0.30592912,0.5933215,0.03912934
c_1_10_3176,-0.8552501,-0.6595584,0.1124545,-0.08992167,-0.538028,1.3219954,-0.82693845,-0.5964262,0.69406796,0.13476524,-0.29171434,0.14752583,-0.72464037,2.4902709,-1.1466594,-0.07078214,3.1215026,-0.12831165,-0.69418955,-0.65096074,-0.50878227,-0.47615385,0.38026255,-0.63442993,-0.42829183,-1.3040074,-1.0978366,0.7074602,0.32639557,0.38285944
c_1_10_3177,0.1774577,-0.49722093,0.29663527,0.5904841,-0.34612995,2.0936458,-0.442584,2.5178847,0.20805487,0.48514244,0.033030342,1.4987906,-0.64506453,-0.42213982,-0.57439214,0.5973661,1.1751956,0.7402959,-0.17908895,-0.35927033,-0.9011398,-0.56413215,0.15096161,0.86800206,-0.19495225,-0.89608884,0.071548,0.02773808,0.7072449,-0.8066706
c_1_10_3178,-0.37133527,-0.98366696,-0.96492666,0.5217444,-0.8742657,-0.18993133,-0.6500573,-1.9250703,-0.021343865,0.6739395,0.48988053,-0.8186972,-0.74353504,-0.7569479,-0.5763843,0.048347786,-1.1721482,0.16014233,-0.12672444,-0.27791974,-0.38401884,0.11980302,0.03565836,-1.0299854,-0.9268444,-0.327448,-0.93513083,0.80831194,0.2995058,0.21525012
c_1_10_3179,-0.011221865,1.4157387,-0.15645188,0.6217091,-1.2035995,0.16972521,-0.7810591,-0.74640983,-0.37944198,0.12171769,2.1958647,-0.80356777,-1.4788731,-0.57286966,-0.73822945,-0.24615452,0.12647328,1.2427124,2.2324913,-0.3296341,-0.3167316,-0.7352027,-0.31369498,0.85679835,-0.9975143,-0.5903539,-0.4432233,-0.63875556,0.34520578,-0.7522003
