cell_id,BEST1,CAMP,CCL2,CCL22,CCL4/L1/L2,CD19,CD79A,CD84,CXCR1,EPOR,FCGR3A/B,FOS,GPER1,HBA1/2,IL27RA,KIT,KLRF1,LINC01781,MS4A6A,PDGFA,PTGES,RGS5,S100A2,SAT1,SLC2A1,STAT4,TNFAIP6,TNFRSF13B,TOP2A,TYK2
c_1_41_34,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,4.933732901417028,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,-0.3331953009713117,4.938984531052832,4.436503463938069,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,3.789324205810382
c_1_41_35,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,2.1182265150539634,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,-0.3331953009713117,-0.3314078779948044,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
c_1_41_36,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,3.225314311730683,-0.3314078779948044,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,2.261840993975529,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
c_1_41_37,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,2.0492466578476702,2.1536487021466795,-0.37784665603706474,-0.3349888197849842,1.8794017310231828,-0.18756902115651955,-0.23874435157925825,1.3499731045435586,2.4580912049566477,2.2092155435254086,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
c_1_41_38,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,3.0548083753308095,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,3.6609269378636036,2.701639543380982,2.3927539147901475,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,3.3789671603524947,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
c_1_41_39,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,9.299731913214728,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,-0.3331953009713117,-0.3314078779948044,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
c_1_41_40,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,9.21238964590049,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,5.175391567734575,6.674938776001456,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,6.6173764539366156,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
c_1_41_41,5.818469012372252,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,5.399963690248548,-0.29278098164261607,-0.36126124801881837,-0.3331953009713117,-0.3314078779948044,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,4.912321033292151,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
c_1_41_42,-0.27181205564216,9.272540482963683,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,-0.3331953009713117,-0.3314078779948044,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
c_1_41_43,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,-0.3331953009713117,-0.3314078779948044,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,8.78410081533953,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
c_1_41_44,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,2.281505785135713,-0.3331953009713117,2.538431963806112,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
