cell_id,4-1BB,CCR7,CD11b,CD123,CD138,CD14,CD163,CD40,CD68,CTLA4,FABP4,FOXP3,GITR,GZMB,ICOS,IDO1,IL-18,IL-1b,IgD,Ki-67,LAG3,LAMP1,PD-L1,PD-L2,STING,VISTA,Vimentin,iNOS,p53,pan-RAS
c_1_52_123,-1.1780775,-0.6166564,-1.7363863,-0.969181,1.2979329,-2.559339,0.07282097,-2.037182,-1.3143418,-1.372126,-0.5045393,-1.5277821,-1.2279356,-2.4544349,-1.317598,-2.047572,-1.8231841,-0.10329418,-0.6256095,-1.4176701,-0.9465584,-2.4995863,-0.91131806,-1.3131222,-1.7989185,-1.7496405,-1.3184582,-0.68441254,-1.13947,-1.7006364
c_1_52_124,0.18210645,0.2896596,-0.069138505,0.49982727,0.33750004,-0.99916786,1.2392623,-1.1520565,-0.1302038,0.5911817,0.9968006,0.34981108,0.63270843,-0.36053115,0.5931387,-0.88039356,0.096676216,1.3278104,1.0571226,0.18347897,0.7281269,-1.126071,0.43962374,0.52673435,-1.2638743,-0.27648368,0.20367676,0.8526519,0.4420815,1.0777925
c_1_52_125,-0.1404983,-0.51311487,-0.7892889,0.5060195,0.20898661,-0.9518059,0.92089784,-1.565482,-0.13801782,-0.18797377,0.5945808,0.12581271,0.36895517,-0.30059358,0.0735928,-0.98928076,-0.09602422,1.024155,0.23290041,0.052567273,0.32038736,-1.3865417,0.1559444,0.05211402,-1.6567434,-0.91192186,1.4290565,-0.3096603,0.25978097,1.5463921
c_1_52_126,-2.172249,0.58108157,0.5782217,-2.7951493,-2.8638852,0.16482839,-0.031036176,-2.1649115,-1.6446158,-2.3129141,-2.3912082,-2.2116225,-4.148693,-2.996162,-1.7864814,-2.6271703,-2.2410586,-1.8269316,-0.60009426,-2.0796328,-1.7237971,-1.9089977,-2.6799934,-2.4063554,-1.6254907,-2.3649404,0.45498246,-0.29715046,-2.61222,-0.27557606
c_1_52_127,-2.7227275,-0.52340865,-1.4988009,-2.9574227,-2.8712597,-1.831839,-0.07678573,-2.0854137,-1.8085448,-3.7195055,-3.4857144,-2.9530869,-4.571755,-2.6112936,-2.13817,-2.7927272,-2.8003926,-2.405586,-0.17672272,-2.1002567,-2.3284926,-2.0982587,-2.2910612,-3.1111689,-2.1850195,-3.0443823,0.93204594,-0.8754116,-3.3476558,-0.68398094
c_1_52_128,0.21545847,0.012797613,-0.9025242,-0.042010807,1.2792276,-1.5789374,0.48786262,-1.6622783,-0.88196707,-0.24968186,-0.3129921,-1.4837314,-0.31010246,-1.1178627,-1.0243516,-1.7930614,-0.9015344,-0.058255114,-0.023244608,-0.6942145,0.00062500086,-1.7284925,-0.46245834,-0.55165267,-1.7118286,-0.8380942,-1.9638269,1.0494508,-0.9351957,-1.3763888
c_1_52_129,-2.825658,0.14102553,-0.73127973,-2.5680974,-2.9210443,1.4896861,0.9018439,-1.9518256,-0.42184833,-2.8764374,-2.4136577,-2.8730047,-3.9045343,-3.1909811,-1.9911454,-2.5929601,-2.534171,-2.2381756,0.45813444,-2.3265157,-2.6685045,-1.3165613,-2.3374932,-2.9401307,-1.0840397,-3.7078006,1.2812107,-0.17857249,-2.8198967,-0.90582544
c_1_52_130,-2.225215,0.024981488,-2.4251018,-2.8094656,-2.7607155,-2.7620199,0.16367005,-2.6010392,-1.6740217,-3.068228,-2.3219044,-2.6847377,-3.6058233,-3.5737255,-2.1959713,-2.7446218,-3.3482184,-1.7432808,-0.7888145,-1.6474254,-1.7961553,-2.4407206,-2.3328164,-3.1018918,-2.3158047,-2.8024154,-0.4822906,-1.4514856,-3.2782311,-1.3278439
c_1_52_131,-1.7870548,-1.5429196,-2.3536808,-1.9638667,0.1369724,-3.372812,-0.67456335,-2.6488967,-1.6026965,-3.0395548,-2.141896,-3.32465,-2.7915626,-3.6908944,-1.9375502,-2.5907068,-2.894294,-2.2001352,-1.4823182,-2.848813,-1.7484349,-3.3729649,-1.6977372,-3.046887,-2.5095181,-2.7872043,-0.7784869,-1.6713215,-2.5722508,-3.3513207
c_1_52_132,-1.0212648,-1.0039694,-1.6443397,-0.6979401,2.1181097,-2.1067278,0.16160004,-1.883015,-1.6184986,-1.292751,-0.7719723,-2.014483,-1.1512505,-0.43603042,-1.2580938,-1.7970605,-1.9406679,-0.68799925,-0.34210134,-0.622391,-0.9695311,-1.5620092,-1.1618282,-0.6743755,-1.8186009,-1.5286273,-1.9572618,-0.8505022,-0.7115052,-1.0985003
c_1_52_133,1.6056807,1.350356,1.1704103,2.313386,1.6114746,0.43233246,3.3455577,-0.23817255,1.0411686,2.1592693,2.4508493,1.7165339,2.762179,1.3084784,1.9030389,0.0015361529,1.4767131,2.762808,2.401113,1.8044794,2.3630002,-0.29555762,2.917142,2.8580506,-0.47493365,1.2202697,1.0221231,2.1523385,2.2190566,2.3155708
c_1_52_134,-1.8903067,0.15236612,-0.80453414,-2.1394727,-1.4130874,-1.992257,1.9027234,-2.7066905,-1.4349883,-0.3523965,0.508445,-1.4244431,-2.5957348,-1.0462897,-1.0788416,-2.050724,-2.6982427,-1.62628,0.617756,-1.514831,-1.7642406,-2.0340397,-1.3617482,-1.9148116,-1.1835413,-2.8722172,3.057357,0.77012795,-2.8562887,1.3310696
c_1_52_135,-0.13025284,-0.24843378,-0.8218244,0.11381329,2.0925105,-1.4338528,2.03762,-1.0106936,-0.1768048,0.13141723,2.7642624,-0.26297322,-0.30140334,-1.3818421,-0.20357658,-1.143451,-0.4375807,0.72765726,1.0148847,0.30170897,-0.15987208,-1.0789112,0.23192376,-0.017847085,1.1714259,0.07808251,3.0224872,0.6262553,-0.11266881,-0.5022804
